run_id,algorithm,d,density,n_samples,ds,dp,runtime_sec,graph_seed,noise_seed,status,error_message
26,pc,4,0.2,20,0.0,0.0,0.022964522009715438,1979643161,4282984060,ok,
26,ges,4,0.2,20,1.0,0.0,0.02374403108842671,1979643161,4282984060,ok,
26,boss,4,0.2,20,0.0,0.0,0.021357869962230325,1979643161,4282984060,ok,
27,pc,4,0.2,20,0.0,0.0,0.019536455860361457,3457402174,4212655701,ok,
27,ges,4,0.2,20,1.0,0.0,0.020318767987191677,3457402174,4212655701,ok,
27,boss,4,0.2,20,0.0,0.0,0.018143305089324713,3457402174,4212655701,ok,
28,pc,4,0.2,20,1.0,0.0,0.017727866070345044,1630040364,2944380402,ok,
28,ges,4,0.2,20,2.0,0.0,0.017655754927545786,1630040364,2944380402,ok,
28,boss,4,0.2,20,1.0,0.0,0.016155584948137403,1630040364,2944380402,ok,
29,pc,4,0.2,20,1.0,0.0,0.019434584071859717,4080649789,2793701317,ok,
29,ges,4,0.2,20,2.0,0.0,0.01931211003102362,4080649789,2793701317,ok,
29,boss,4,0.2,20,1.0,0.0,0.0178436569403857,4080649789,2793701317,ok,
30,pc,4,0.2,20,0.0,0.0,0.018940391950309277,3609109947,2956856191,ok,
30,ges,4,0.2,20,0.0,0.0,0.018830687971785665,3609109947,2956856191,ok,
30,boss,4,0.2,20,0.0,0.0,0.017498499946668744,3609109947,2956856191,ok,
31,pc,4,0.2,20,0.0,0.0,0.018077035900205374,3023661486,1670404795,ok,
31,ges,4,0.2,20,1.0,0.0,0.01495760097168386,3023661486,1670404795,ok,
31,boss,4,0.2,20,0.0,0.0,0.01643151487223804,3023661486,1670404795,ok,
32,pc,4,0.2,20,0.0,0.0,0.014552837004885077,3758767033,580235069,ok,
32,ges,4,0.2,20,0.0,0.0,0.014451608061790466,3758767033,580235069,ok,
32,boss,4,0.2,20,0.0,0.0,0.013012551935389638,3758767033,580235069,ok,
33,pc,4,0.2,20,0.0,0.0,0.019376261858269572,2486371348,3098768824,ok,
33,ges,4,0.2,20,0.0,0.0,0.01928195497021079,2486371348,3098768824,ok,
33,boss,4,0.2,20,0.0,0.0,0.01814775005914271,2486371348,3098768824,ok,
34,pc,4,0.2,20,0.0,0.0,0.017733715940266848,3631311418,2256379632,ok,
34,ges,4,0.2,20,0.0,0.0,0.017718244111165404,3631311418,2256379632,ok,
34,boss,4,0.2,20,0.0,0.0,0.016426980961114168,3631311418,2256379632,ok,
35,pc,4,0.2,20,0.0,0.0,0.017794415820389986,1612402199,1332478708,ok,
35,ges,4,0.2,20,0.0,0.0,0.01770067703910172,1612402199,1332478708,ok,
35,boss,4,0.2,20,0.0,0.0,0.016481159022077918,1612402199,1332478708,ok,
36,pc,4,0.2,20,1.0,0.0,0.023786091012880206,1816595735,2086646976,ok,
36,ges,4,0.2,20,1.0,0.0,0.023843863978981972,1816595735,2086646976,ok,
36,boss,4,0.2,20,0.0,0.0,0.021447465987876058,1816595735,2086646976,ok,
37,pc,4,0.2,20,0.0,0.0,0.014172684866935015,3087315778,3820321157,ok,
37,ges,4,0.2,20,0.0,0.0,0.014166617067530751,3087315778,3820321157,ok,
37,boss,4,0.2,20,0.0,0.0,0.012967400019988418,3087315778,3820321157,ok,
38,pc,4,0.2,20,0.0,0.0,0.01793117099441588,313304721,4011686353,ok,
38,ges,4,0.2,20,2.0,1.0,0.011286179069429636,313304721,4011686353,ok,
38,boss,4,0.2,20,0.0,0.0,0.012912825914099813,313304721,4011686353,ok,
39,pc,4,0.2,20,0.0,0.0,0.01404409995302558,2282102939,1536718667,ok,
39,ges,4,0.2,20,0.0,0.0,0.014484940096735954,2282102939,1536718667,ok,
39,boss,4,0.2,20,0.0,0.0,0.012880383990705013,2282102939,1536718667,ok,
40,pc,4,0.2,20,0.0,0.0,0.01395321893505752,2889393616,2454701930,ok,
40,ges,4,0.2,20,1.0,1.0,0.011422920972108841,2889393616,2454701930,ok,
40,boss,4,0.2,20,0.0,0.0,0.012930345954373479,2889393616,2454701930,ok,
41,pc,4,0.2,20,0.0,0.0,0.019122957019135356,1093525228,1382418507,ok,
41,ges,4,0.2,20,0.0,0.0,0.019290848867967725,1093525228,1382418507,ok,
41,boss,4,0.2,20,0.0,0.0,0.018106282921507955,1093525228,1382418507,ok,
42,pc,4,0.2,20,0.0,0.0,0.01771480217576027,3090273954,2552499192,ok,
42,ges,4,0.2,20,0.0,0.0,0.017582385102286935,3090273954,2552499192,ok,
42,boss,4,0.2,20,0.0,0.0,0.016424702014774084,3090273954,2552499192,ok,
43,pc,4,0.2,20,1.0,0.0,0.013743256917223334,2166461505,1451317661,ok,
43,ges,4,0.2,20,1.0,1.0,0.013411920983344316,2166461505,1451317661,ok,
43,boss,4,0.2,20,1.0,0.0,0.017072398914024234,2166461505,1451317661,ok,
44,pc,4,0.2,20,0.0,0.0,0.01390728703700006,3267007163,1681990798,ok,
