algorithm,d,density,n_samples,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,runtime_sec_mean,runtime_sec_std
boss,6,0.8,500,50,2.88,1.8805123053604953,2.3587485827357395,3.4012514172642603,2.28,2.030783502161927,1.7170955320838177,2.842904467916182,0.017924857959151268,0.0042676561005205145
boss,6,0.8,1000,50,2.16,1.7654276235171895,1.6706484290410422,2.649351570958958,1.7,1.6319513798279803,1.2476461562007017,2.152353843799298,0.017032541097141803,0.005350522790468987
boss,6,0.8,5000,50,1.0,1.3702375780893485,0.620189520944985,1.379810479055015,0.88,1.2558434843334807,0.5318979459985909,1.2281020540014091,0.017894385480321944,0.004596882543673807
boss,6,0.8,10000,50,0.6,0.8081220356417685,0.376,0.824,0.5,0.9313146293146641,0.24185275519579919,0.7581472448042008,0.017967199757695198,0.00399222571909684
boss,8,0.2,20,50,2.02,1.3626205245326195,1.6423008604722538,2.3976991395277465,0.16,0.5095015571464859,0.018773373615312894,0.3012266263846871,0.062135417270474134,0.028458332195975402
boss,8,0.2,50,50,1.0,0.9689042833036098,0.7314334346944877,1.2685665653055123,0.14,0.49528388066742046,0.0027143124721298872,0.27728568752787014,0.06022143327165395,0.023422092074094243
boss,8,0.2,100,50,0.72,0.9905677613348409,0.4454286249442597,0.9945713750557402,0.02,0.14142135623730948,0.0,0.05919999999999999,0.06365825205575674,0.02320342369119316
boss,8,0.2,500,50,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003,0.0,0.0,0.0,0.0,0.062445973013527695,0.029131430521866716
boss,8,0.2,1000,50,0.06,0.3136356914300021,0.0,0.14693537829905612,0.02,0.14142135623730948,0.0,0.05919999999999999,0.06403371894732118,0.030143602919825544
boss,8,0.2,5000,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07187339932657778,0.024569499774813465
boss,8,0.2,10000,50,0.02,0.14142135623730948,0.0,0.05919999999999999,0.02,0.14142135623730948,0.0,0.05919999999999999,0.06959642674773932,0.02616209805319945
boss,8,0.5,20,50,8.74,2.5857537487122766,8.02326562800435,9.456734371995651,1.92,2.1173722644170176,1.3330943517054892,2.5069056482945107,0.035445371805690226,0.011771786610139797
boss,8,0.5,50,50,6.3,2.3754698783308417,5.641553343086929,6.958446656913071,1.74,1.675879300120217,1.275469957914453,2.2045300420855467,0.03956191263161599,0.01043883478716307
boss,8,0.5,100,50,3.46,2.1872543593860003,2.853724023236942,4.066275976763058,1.36,1.6005101227612477,0.9163612280244209,1.8036387719755793,0.042927713016979396,0.011638169488727161
boss,8,0.5,500,50,1.24,1.623299738439062,0.7900442688441451,1.6899557311558548,0.62,1.122860777893062,0.30875887161237836,0.9312411283876216,0.04873073768801987,0.013832721084383671
boss,8,0.5,1000,50,0.54,0.8134080483135291,0.3145347920409892,0.7654652079590109,0.38,0.6023762469230862,0.21302982302219356,0.5469701769778065,0.0508601960260421,0.011042881382522443
boss,8,0.5,5000,50,0.2,0.6700593942604899,0.014269011740097648,0.3857309882599024,0.14,0.4045657788144656,0.027860087390795624,0.25213991260920443,0.0538908595778048,0.01633565565023812
boss,8,0.5,10000,50,0.08,0.3404678653660853,0.0,0.1743728774595752,0.06,0.2398979374820952,0.0,0.12649631568741232,0.0484753182111308,0.010488604983335413
boss,8,0.8,20,50,13.82,2.2378013991506966,13.199713098639025,14.440286901360976,4.96,3.885924364069031,3.882876720147596,6.037123279852404,0.0332327476888895,0.007233867399636431
boss,8,0.8,50,50,11.62,2.088745351366974,11.041029327167601,12.198970672832397,5.58,3.865546401169159,4.508525203282877,6.651474796717123,0.04033496234100312,0.007995224042243182
boss,8,0.8,100,50,10.16,2.2529798861390082,9.535505836696611,10.784494163303389,5.06,2.7136089381832003,4.307825977582315,5.812174022417684,0.04509381734300405,0.005717377692213788
boss,8,0.8,500,50,6.1,2.793943887943992,5.325558265587397,6.874441734412602,4.08,3.180553154303028,3.198395644293882,4.961604355706118,0.045121605382300915,0.006653547083025372
boss,8,0.8,1000,50,4.52,2.8301582850376668,3.7355201468488817,5.3044798531511175,3.74,3.3552274170923444,2.8099784088527837,4.670021591147217,0.039776677684858444,0.00616428859668988
boss,8,0.8,5000,50,1.52,1.9612574059120587,0.9763671827418805,2.0636328172581195,1.02,1.7436766223314764,0.5366774989719598,1.5033225010280402,0.03685047743376344,0.005447232247709664
boss,8,0.8,10000,50,1.18,1.3200185527453152,0.8141095245842002,1.5458904754157996,1.04,1.1773370158878007,0.7136588288309305,1.3663411711690696,0.03738377278205007,0.005746151433229363
boss,10,0.2,20,50,4.56,2.3574458679698593,3.9065493438674954,5.213450656132504,0.7,1.5419309389230647,0.27259854937073497,1.127401450629265,0.11698137938976289,0.03844508432476327
boss,10,0.2,50,50,2.24,1.5460284866821352,1.8114627670785188,2.668537232921482,0.18,0.5225526045191966,0.03515580784857131,0.3248441921514287,0.11597913158126176,0.03601697580370373
boss,10,0.2,100,50,0.98,1.1691615694634356,0.6559249469644416,1.3040750530355583,0.22,0.5816935163286381,0.05876278345245475,0.3812372165475453,0.1158447290211916,0.04609116779255096
boss,10,0.2,500,50,0.18,0.43752550946038726,0.05872411616483679,0.3012758838351632,0.08,0.39589732744431483,0.0,0.18973714047668638,0.12479940374847502,0.048839091502297344
boss,10,0.2,1000,50,0.12,0.38544964466377263,0.013158809441302086,0.2268411905586979,0.1,0.41649656391752143,0.0,0.21544695751729448,0.14295506480615586,0.05241775184256187
boss,10,0.2,5000,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14702042272780091,0.04720213261254913
boss,10,0.2,10000,50,0.02,0.1414213562373095,0.0,0.0592,0.02,0.1414213562373095,0.0,0.0592,0.14187589448411017,0.0458869859783895
boss,10,0.5,20,50,15.16,2.816569051965493,14.379286890080614,15.940713109919386,3.8,2.871393034605968,3.0040904574010936,4.595909542598906,0.06490429718513041,0.021283442036813205
boss,10,0.5,50,50,10.48,4.026645943092142,9.36387068849528,11.59612931150472,3.4,2.7774602993176543,2.6301272832474187,4.169872716752581,0.08137429860420525,0.020990876823690812
