d,density,n_samples,epsilon,delta,k,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,bic_score_mean,bic_score_std,bic_score_ci95_low,bic_score_ci95_high,found_true_by_k_mean,found_true_by_k_std,found_true_by_k_ci95_low,found_true_by_k_ci95_high,is_true_at_k_mean,is_true_at_k_std,is_true_at_k_ci95_low,is_true_at_k_ci95_high
5,0.4,500,1,2,7,50,1.0,0.6998542122237652,0.8060103095522857,1.1939896904477143,1.16,1.1492677349210725,0.8414392365654552,1.4785607634345448,-351.16841935097705,267.04413852428974,0.0,-277.1475606301322,0.96,0.19794866372215741,0.9051314297616567,1.014868570238343,0.02,0.14142135623730948,0.0,0.05919999999999999
5,0.4,500,1,2,8,50,0.94,0.6197431989566817,0.7682159495180068,1.1117840504819931,1.36,1.0253919111386494,1.0757758630939307,1.6442241369060695,-351.12145343755924,267.0219334536111,0.0,-277.1067496482874,0.96,0.19794866372215741,0.9051314297616567,1.014868570238343,0.0,0.0,0.0,0.0
5,0.4,500,1,2,9,50,0.94,0.5115003939990903,0.7982193243068717,1.0817806756931283,1.36,1.2249114920129152,1.0204718568365798,1.6995281431634204,-351.35127176230037,266.87697798968975,0.0,-277.37674757770003,0.96,0.19794866372215741,0.9051314297616567,1.014868570238343,0.0,0.0,0.0,0.0
5,0.4,500,1,2,10,50,1.04,0.5699982098074287,0.8820045570277422,1.197995442972258,1.58,1.4581229197086203,1.175828947102839,1.9841710528971612,-351.47488872103696,266.9583151868559,0.0,-277.47781901563445,0.96,0.19794866372215741,0.9051314297616567,1.014868570238343,0.0,0.0,0.0,0.0
5,0.4,500,2,1,1,50,0.16,0.3703280399090206,0.05735030443298919,0.2626496955670108,0.06,0.3136356914300021,0.0,0.14693537829905612,-374.64932284282435,271.0922456029493,0.0,-299.5063860871941,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107
5,0.4,500,2,1,2,50,0.42,0.5379477252503637,0.2708884980962233,0.5691115019037767,0.7,0.6776309271789384,0.5121702898900177,0.8878297101099822,-350.16493176639443,266.9777170475638,0.0,-276.16248413958044,0.88,0.3282607226593159,0.7890107698680773,0.9709892301319227,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,500,2,1,3,50,0.86,0.5717856027482714,0.701509116981449,1.0184908830185508,0.6,0.7284313590846836,0.39808912857401657,0.8019108714259834,-350.9881134429917,266.7847032334169,0.0,-277.0391665159013,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.06,0.23989793748209523,0.0,0.12649631568741232
5,0.4,500,2,1,4,50,0.94,0.42426406871192857,0.8223999999999999,1.0575999999999999,0.68,0.8675557971822273,0.4395258017998605,0.9204741982001396,-351.33672413943685,266.64570457278523,0.0,-277.42630567538583,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.0,0.0,0.0,0.0
5,0.4,500,2,1,5,50,0.98,0.7420325093268887,0.7743190820712821,1.185680917928718,0.74,0.8033094811148314,0.5173339720568043,0.9626660279431957,-351.2448094587617,266.90892156147527,0.0,-277.2614309678012,0.96,0.19794866372215741,0.9051314297616567,1.014868570238343,0.02,0.14142135623730948,0.0,0.05919999999999999
5,0.4,500,2,1,6,50,0.9,0.5802884574739973,0.7391522458969352,1.0608477541030648,0.86,0.808374534331149,0.6359300109340834,1.0840699890659167,-351.30221797232474,266.90144722085023,0.0,-277.32091126288503,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.02,0.1414213562373095,0.0,0.0592
5,0.4,500,2,1,7,50,1.04,0.5329930887479323,0.8922618532673434,1.1877381467326567,0.8,0.9689042833036098,0.5314334346944878,1.0685665653055123,-351.5996170486308,266.88934214497795,0.0,-277.62166569503563,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,500,2,1,8,50,1.04,0.49321932861805906,0.9032865771037826,1.1767134228962175,0.84,0.9116032076310753,0.5873164825320021,1.0926835174679979,-351.6260903228863,266.7963949316893,0.0,-277.67390262237615,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,500,2,1,9,50,1.0,0.5714285714285714,0.8416080810142134,1.1583919189857865,1.2,0.989743318610787,0.9256571488082841,1.4743428511917158,-351.6795808383308,266.9254820878958,0.0,-277.69161200364175,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,500,2,1,10,50,0.96,0.4499433070863892,0.8352820782726075,1.0847179217273923,1.22,1.0933938924658546,0.9169266755387402,1.5230733244612598,-351.6301389677021,267.17040244793355,0.0,-277.5742816728192,1.0,0.0,1.0,1.0,0.02,0.1414213562373095,0.0,0.0592
5,0.4,500,2,2,1,50,0.16,0.3703280399090206,0.05735030443298919,0.2626496955670108,0.06,0.3136356914300021,0.0,0.14693537829905612,-374.64932284282435,271.0922456029493,0.0,-299.5063860871941,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107
5,0.4,500,2,2,2,50,0.34,0.5194188275056526,0.1960244465195567,0.48397555348044335,0.9,0.7071067811865476,0.7040000000000001,1.096,-349.82643873789027,267.0302552265202,0.0,-275.80942827085266,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107,0.0,0.0,0.0,0.0
5,0.4,500,2,2,3,50,0.52,0.6464976285134149,0.3408,0.6992,1.36,1.083456298620488,1.059681236017461,1.6603187639825392,-350.02493774188827,267.1282887594562,0.0,-275.98075376588895,0.88,0.3282607226593159,0.7890107698680773,0.9709892301319227,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,500,2,2,4,50,0.8,0.5345224838248488,0.651837926580383,0.9481620734196171,1.4,1.2936264483053452,1.0414250427037604,1.7585749572962395,-350.67341569199675,266.8837482454168,0.0,-276.6970148882523,0.88,0.3282607226593159,0.7890107698680773,0.9709892301319227,0.0,0.0,0.0,0.0
5,0.4,500,2,2,5,50,0.9,0.7354021529276429,0.6961569231001455,1.1038430768998546,1.34,1.3341664064126333,0.9701879396233812,1.709812060376619,-350.72021247263206,267.0732366672194,0.0,-276.69128815806647,0.9,0.30304576336566325,0.8160000000000001,0.984,0.02,0.1414213562373095,0.0,0.0592
5,0.4,500,2,2,6,50,0.88,0.7461465632686054,0.6731787244986629,1.0868212755013371,1.04,1.1945454263066784,0.7088889008202837,1.3711110991797164,-350.84430025279,266.9998024515214,0.0,-276.8357308643258,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,500,2,2,7,50,0.92,0.6951728606055109,0.7273079140182452,1.1126920859817548,1.24,1.1349728037737832,0.9254015893237857,1.5545984106762143,-351.0370653815256,267.04674123182696,0.0,-277.0154852269584,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.0,0.0,0.0,0.0
5,0.4,500,2,2,8,50,0.92,0.5283783431116266,0.7735409954970334,1.0664590045029667,1.4,1.261680123761121,1.0502801120896896,1.7497198879103102,-351.0950573927758,267.0389640506618,0.0,-277.0756329628444,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.0,0.0,0.0,0.0
5,0.4,500,2,2,9,50,1.0,0.5345224838248488,0.8518379265803829,1.1481620734196172,1.52,1.4032033323209914,1.1310518800662486,1.9089481199337515,-351.2468358296999,266.97783421341376,0.0,-277.2443557261692,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.0,0.0,0.0,0.0
5,0.4,500,2,2,10,50,0.96,0.5329930887479323,0.8122618532673433,1.1077381467326566,1.66,1.3187811317536309,1.294452520183766,2.025547479816234,-351.2012265781793,266.9905464422575,0.0,-277.1952228245866,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.0,0.0,0.0,0.0
5,0.4,10000,1,1,1,50,0.02,0.14142135623730948,0.0,0.05919999999999999,0.02,0.14142135623730948,0.0,0.05919999999999999,-5802.337171648077,6410.148898257382,0.0,-4025.5345479337548,0.98,0.14142135623730948,0.9408,1.0191999999999999,0.98,0.14142135623730948,0.9408,1.0191999999999999
5,0.4,10000,1,1,2,50,0.38,0.49031435147801467,0.24409179568547013,0.5159082043145299,0.64,0.5252793231671495,0.49440000000000006,0.7856,-5803.205389864243,6410.075061914602,0.0,-4026.4232325399626,0.98,0.14142135623730948,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,10000,1,1,3,50,0.76,0.4763809143009448,0.6279539474274222,0.8920460525725779,0.84,0.7917946548886297,0.6205257190466272,1.0594742809533728,-5804.510522150405,6410.434091840906,0.0,-4027.6288468078737,0.98,0.14142135623730948,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,10000,1,1,4,50,0.98,0.6848208465261076,0.7901773459252031,1.169822654074797,0.54,0.8134080483135291,0.3145347920409892,0.7654652079590109,-5805.239666709274,6410.3594352022965,0.0,-4028.378685131188,0.98,0.14142135623730948,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
