run_id,algorithm,d,density,n_samples,ds,dp,runtime_sec,graph_seed,noise_seed,status,error_message
5,boss,5,0.2,50,0.0,0.0,0.010522032156586647,2463802551,645445394,ok,
6,pc,5,0.2,50,1.0,0.0,0.012515942100435495,3693847573,1934192850,ok,
6,ges,5,0.2,50,2.0,0.0,0.014801305020228028,3693847573,1934192850,ok,
6,boss,5,0.2,50,2.0,0.0,0.01244538207538426,3693847573,1934192850,ok,
7,pc,5,0.2,50,0.0,0.0,0.010601177113130689,3843967662,3420186696,ok,
7,ges,5,0.2,50,0.0,0.0,0.010914145037531853,3843967662,3420186696,ok,
7,boss,5,0.2,50,1.0,0.0,0.011149860918521881,3843967662,3420186696,ok,
8,pc,5,0.2,50,0.0,0.0,0.012071400880813599,3029423467,990600743,ok,
8,ges,5,0.2,50,0.0,0.0,0.01291550905443728,3029423467,990600743,ok,
8,boss,5,0.2,50,0.0,0.0,0.010402332060039043,3029423467,990600743,ok,
9,pc,5,0.2,50,0.0,0.0,0.012069548014551401,3294281095,223429785,ok,
9,ges,5,0.2,50,2.0,1.0,0.030637533171102405,3294281095,223429785,ok,
9,boss,5,0.2,50,1.0,0.0,0.04374928888864815,3294281095,223429785,ok,
10,pc,5,0.2,50,1.0,0.0,0.01985519309528172,2448537514,1737536920,ok,
10,ges,5,0.2,50,1.0,0.0,0.020031281979754567,2448537514,1737536920,ok,
10,boss,5,0.2,50,2.0,0.0,0.03176789893768728,2448537514,1737536920,ok,
11,pc,5,0.2,50,0.0,0.0,0.010726606007665396,4280554939,852607032,ok,
11,ges,5,0.2,50,0.0,0.0,0.010955698089674115,4280554939,852607032,ok,
11,boss,5,0.2,50,0.0,0.0,0.008802233031019568,4280554939,852607032,ok,
12,pc,5,0.2,50,0.0,0.0,0.01133465999737382,4065293023,389781361,ok,
12,ges,5,0.2,50,0.0,0.0,0.012630469864234328,4065293023,389781361,ok,
12,boss,5,0.2,50,0.0,0.0,0.010036268969997764,4065293023,389781361,ok,
13,pc,5,0.2,50,0.0,0.0,0.011859881924465299,2676505370,2492508617,ok,
13,ges,5,0.2,50,1.0,0.0,0.01515362598001957,2676505370,2492508617,ok,
13,boss,5,0.2,50,0.0,0.0,0.01013919897377491,2676505370,2492508617,ok,
14,pc,5,0.2,50,0.0,0.0,0.01270016492344439,3860939297,1282890120,ok,
14,ges,5,0.2,50,0.0,0.0,0.013716717949137092,3860939297,1282890120,ok,
14,boss,5,0.2,50,0.0,0.0,0.011364760110154748,3860939297,1282890120,ok,
15,pc,5,0.2,50,0.0,0.0,0.011484466958791018,3874382099,2886196022,ok,
15,ges,5,0.2,50,0.0,0.0,0.01251411298289895,3874382099,2886196022,ok,
15,boss,5,0.2,50,0.0,0.0,0.01001461804844439,3874382099,2886196022,ok,
16,pc,5,0.2,50,1.0,0.0,0.012656252132728696,3824225005,856912305,ok,
16,ges,5,0.2,50,1.0,0.0,0.012674958910793066,3824225005,856912305,ok,
16,boss,5,0.2,50,2.0,0.0,0.034777000080794096,3824225005,856912305,ok,
17,pc,5,0.2,50,0.0,0.0,0.012005428085103631,3256625379,4046344997,ok,
17,ges,5,0.2,50,0.0,0.0,0.01297249412164092,3256625379,4046344997,ok,
17,boss,5,0.2,50,1.0,0.0,0.03858528099954128,3256625379,4046344997,ok,
18,pc,5,0.2,50,0.0,0.0,0.012116587022319436,208721427,1568136231,ok,
18,ges,5,0.2,50,0.0,0.0,0.013064925791695714,208721427,1568136231,ok,
18,boss,5,0.2,50,0.0,0.0,0.010383400833234191,208721427,1568136231,ok,
19,pc,5,0.2,50,0.0,0.0,0.011751697864383459,2733801963,453098774,ok,
19,ges,5,0.2,50,0.0,0.0,0.013064223807305098,2733801963,453098774,ok,
19,boss,5,0.2,50,0.0,0.0,0.010426699882373214,2733801963,453098774,ok,
20,pc,5,0.2,50,0.0,0.0,0.007862746017053723,2190705798,2701998935,ok,
20,ges,5,0.2,50,1.0,0.0,0.03405832080170512,2190705798,2701998935,ok,
20,boss,5,0.2,50,1.0,0.0,0.03242168202996254,2190705798,2701998935,ok,
21,pc,5,0.2,50,0.0,1.0,0.014874785207211971,3281301134,3982098482,ok,
21,ges,5,0.2,50,0.0,0.0,0.014158073114231229,3281301134,3982098482,ok,
21,boss,5,0.2,50,1.0,0.0,0.01475560199469328,3281301134,3982098482,ok,
22,pc,5,0.2,50,2.0,0.0,0.012491489062085748,1760183475,1891405476,ok,
22,ges,5,0.2,50,2.0,0.0,0.015761102084070444,1760183475,1891405476,ok,
22,boss,5,0.2,50,0.0,0.0,0.01138907391577959,1760183475,1891405476,ok,
23,pc,5,0.2,50,1.0,0.0,0.01657350594177842,2036721455,4099934950,ok,
23,ges,5,0.2,50,2.0,0.0,0.013127654092386365,2036721455,4099934950,ok,
23,boss,5,0.2,50,1.0,0.0,0.014496839139610529,2036721455,4099934950,ok,
24,pc,5,0.2,50,1.0,0.0,0.009548241039738059,840753714,2147036170,ok,
24,ges,5,0.2,50,1.0,0.0,0.01165789389051497,840753714,2147036170,ok,
24,boss,5,0.2,50,0.0,0.0,0.007266464177519083,840753714,2147036170,ok,
25,pc,5,0.2,50,0.0,0.0,0.011461716145277023,214029935,1826343036,ok,
25,ges,5,0.2,50,0.0,0.0,0.012847116915509105,214029935,1826343036,ok,
25,boss,5,0.2,50,1.0,0.0,0.015306818997487426,214029935,1826343036,ok,
26,pc,5,0.2,50,0.0,0.0,0.011810739990323782,4060090032,2663796491,ok,
26,ges,5,0.2,50,1.0,1.0,0.015268166083842516,4060090032,2663796491,ok,
26,boss,5,0.2,50,0.0,0.0,0.010136859025806189,4060090032,2663796491,ok,
27,pc,5,0.2,50,1.0,0.0,0.029748846078291535,1501564775,4273906945,ok,
27,ges,5,0.2,50,2.0,1.0,0.028407867066562176,1501564775,4273906945,ok,
27,boss,5,0.2,50,0.0,0.0,0.010496509028598666,1501564775,4273906945,ok,
28,pc,5,0.2,50,0.0,0.0,0.011652328073978424,2593116994,4075682048,ok,
28,ges,5,0.2,50,0.0,0.0,0.01298980601131916,2593116994,4075682048,ok,
28,boss,5,0.2,50,0.0,0.0,0.010366525035351515,2593116994,4075682048,ok,
29,pc,5,0.2,50,1.0,0.0,0.03232708293944597,70145127,1975878827,ok,
29,ges,5,0.2,50,1.0,0.0,0.03464669710956514,70145127,1975878827,ok,
29,boss,5,0.2,50,0.0,0.0,0.0107198900077492,70145127,1975878827,ok,
30,pc,5,0.2,50,0.0,1.0,0.012677649967372417,3586103836,3254420608,ok,
30,ges,5,0.2,50,0.0,0.0,0.01312760985456407,3586103836,3254420608,ok,
30,boss,5,0.2,50,1.0,0.0,0.02772166207432747,3586103836,3254420608,ok,
31,pc,5,0.2,50,0.0,0.0,0.013126101111993194,1750158017,2136414208,ok,
31,ges,5,0.2,50,1.0,1.0,0.01595648005604744,1750158017,2136414208,ok,
31,boss,5,0.2,50,0.0,0.0,0.011364595964550972,1750158017,2136414208,ok,
32,pc,5,0.2,50,1.0,0.0,0.018170139053836465,1804924957,2273378416,ok,
32,ges,5,0.2,50,2.0,0.0,0.037446106085553765,1804924957,2273378416,ok,
32,boss,5,0.2,50,0.0,0.0,0.008033724036067724,1804924957,2273378416,ok,
33,pc,5,0.2,50,0.0,0.0,0.0117873540148139,988905425,3374923885,ok,
33,ges,5,0.2,50,0.0,0.0,0.013019551988691092,988905425,3374923885,ok,
33,boss,5,0.2,50,0.0,0.0,0.010479768039658666,988905425,3374923885,ok,
34,pc,5,0.2,50,0.0,0.0,0.012784242862835526,333758284,1780933311,ok,
34,ges,5,0.2,50,1.0,0.0,0.02572404290549457,333758284,1780933311,ok,
34,boss,5,0.2,50,0.0,0.0,0.012106169015169144,333758284,1780933311,ok,
35,pc,5,0.2,50,1.0,0.0,0.01229743892326951,1210583380,3154582919,ok,
35,ges,5,0.2,50,1.0,0.0,0.012366136070340872,1210583380,3154582919,ok,
35,boss,5,0.2,50,1.0,0.0,0.010736828902736306,1210583380,3154582919,ok,
36,pc,5,0.2,50,1.0,0.0,0.02025162521749735,3218193835,3054335402,ok,
36,ges,5,0.2,50,0.0,0.0,0.013495907187461853,3218193835,3054335402,ok,
36,boss,5,0.2,50,0.0,0.0,0.010667599039152265,3218193835,3054335402,ok,
